benchmark,price_lookup_cache
created_at,2026-08-16T19:12:07.6336800+09:00
item_count,200
town_count,5
price_key_count,1000
active_rule_count,20
lookup_count,100000
warmup_count,10
measurement_count,100
data_equivalence,PASS
measurement_validity,PASS
positive_control_gc_samples,1
uncached_gc_samples,0
cached_gc_samples,0
uncached_median_ms,73.229800
uncached_p95_ms,97.713745
cached_median_ms,44.994400
cached_p95_ms,57.274570
median_reduction_percent,38.5573

iteration,first_path,uncached_ms,cached_ms,checksum
1,uncached,72.418000,44.655900,10271844
2,cached,74.010200,57.513400,10271844
3,uncached,69.151200,43.217200,10271844
4,cached,69.184500,47.768200,10271844
5,uncached,77.070600,44.169500,10271844
6,cached,96.023700,52.680500,10271844
7,uncached,90.985500,48.537300,10271844
8,cached,73.668500,47.033800,10271844
9,uncached,77.155400,52.497100,10271844
10,cached,93.915400,49.687400,10271844
11,uncached,70.821000,45.206600,10271844
12,cached,106.812300,48.382400,10271844
13,uncached,75.962800,45.119000,10271844
14,cached,73.072900,43.524600,10271844
15,uncached,108.565200,52.193600,10271844
16,cached,69.404900,43.927600,10271844
17,uncached,70.139900,53.350900,10271844
18,cached,74.998700,48.113000,10271844
19,uncached,68.989700,44.572300,10271844
20,cached,74.986100,47.228100,10271844
21,uncached,72.370600,42.308900,10271844
22,cached,67.715200,42.318700,10271844
23,uncached,73.758700,43.687600,10271844
24,cached,79.887800,58.348200,10271844
25,uncached,92.419900,44.539100,10271844
26,cached,72.756100,45.263900,10271844
27,uncached,71.002900,43.950400,10271844
28,cached,72.352800,42.740800,10271844
29,uncached,71.861300,44.653900,10271844
30,cached,71.716300,50.343600,10271844
31,uncached,70.039300,42.869600,10271844
32,cached,85.936000,43.944700,10271844
33,uncached,96.731600,43.678300,10271844
34,cached,70.256800,44.607100,10271844
35,uncached,75.901200,50.251800,10271844
36,cached,69.372000,49.024700,10271844
37,uncached,73.777400,44.426900,10271844
38,cached,101.646400,47.559600,10271844
39,uncached,72.065300,44.507500,10271844
40,cached,72.572700,45.275000,10271844
41,uncached,84.908400,42.990400,10271844
42,cached,71.131200,48.798700,10271844
43,uncached,81.327000,53.030000,10271844
44,cached,86.619000,44.430300,10271844
45,uncached,70.086900,45.459200,10271844
46,cached,75.615100,54.492300,10271844
47,uncached,67.993600,43.740300,10271844
48,cached,74.014200,45.364100,10271844
49,uncached,83.056600,42.560600,10271844
50,cached,96.440200,46.144700,10271844
51,uncached,69.836300,44.112000,10271844
52,cached,68.837900,42.653500,10271844
53,uncached,79.761400,43.125600,10271844
54,cached,70.884700,43.270800,10271844
55,uncached,76.072500,46.235900,10271844
56,cached,72.676300,48.419500,10271844
57,uncached,69.528300,44.104800,10271844
58,cached,69.909900,44.951800,10271844
59,uncached,69.114000,43.069200,10271844
60,cached,81.781600,56.351000,10271844
61,uncached,80.988200,42.551400,10271844
62,cached,75.611200,44.939300,10271844
63,uncached,68.638200,43.307100,10271844
64,cached,97.637300,55.621500,10271844
65,uncached,73.458300,56.516100,10271844
66,cached,99.166200,65.589300,10271844
67,uncached,67.345000,54.135200,10271844
68,cached,70.482900,45.917700,10271844
69,uncached,78.158800,42.832000,10271844
70,cached,84.718500,42.010300,10271844
71,uncached,91.586500,43.605300,10271844
72,cached,73.386700,45.027700,10271844
73,uncached,83.316500,68.455800,10271844
74,cached,71.286200,49.573300,10271844
75,uncached,69.145900,45.681600,10271844
76,cached,71.860100,43.438000,10271844
77,uncached,69.750000,43.544400,10271844
78,cached,81.366800,44.934100,10271844
79,uncached,70.013100,44.329900,10271844
80,cached,71.352600,44.090500,10271844
81,uncached,76.564700,50.710200,10271844
82,cached,81.477200,45.153200,10271844
83,uncached,70.389400,44.594300,10271844
84,cached,88.497600,52.827200,10271844
85,uncached,88.178200,45.559200,10271844
86,cached,70.446400,50.907800,10271844
87,uncached,69.768100,42.637000,10271844
88,cached,69.228700,43.739500,10271844
89,uncached,71.349000,44.427300,10271844
90,cached,74.485100,44.529900,10271844
91,uncached,69.837300,45.777100,10271844
92,cached,71.315600,44.961100,10271844
93,uncached,84.722700,57.262000,10271844
94,cached,77.422900,61.970300,10271844
95,uncached,100.233700,51.649100,10271844
96,cached,71.103500,55.975400,10271844
97,uncached,68.203500,43.631200,10271844
98,cached,69.418700,43.006400,10271844
99,uncached,69.910000,50.910100,10271844
100,cached,74.721700,44.287500,10271844
