# unity_version,6000.0.58f1
# game_version,1.0
# warmup_count,10
# measurement_count,100
# target_size_bytes,10485760
# dataset_count,86
# input_size_bytes,10608620
# memorypack_payload_size_bytes,10608620
# json_payload_size_bytes,77338533
# json_utility_compatible,True
# includes_reflection_overhead,False
# gc_alloc_source,Unity Profiler GC.Alloc sample block count
implementation,phase,iteration,elapsed_ms,gc_alloc_count
Harness,AllocationPositiveControl,0,0.028500,1
Harness,AllocationPositiveControl,1,0.342800,1
Harness,AllocationPositiveControl,2,0.028800,1
Harness,AllocationPositiveControl,3,0.076900,1
Harness,AllocationPositiveControl,4,0.021900,1
Harness,AllocationPositiveControl,5,0.024300,1
Harness,AllocationPositiveControl,6,0.026200,1
Harness,AllocationPositiveControl,7,0.022200,1
Harness,AllocationPositiveControl,8,0.027900,1
Harness,AllocationPositiveControl,9,0.027900,1
Harness,AllocationPositiveControl,10,0.028300,1
Harness,AllocationPositiveControl,11,0.029700,1
Harness,AllocationPositiveControl,12,0.033500,1
Harness,AllocationPositiveControl,13,0.030600,1
Harness,AllocationPositiveControl,14,0.029300,1
Harness,AllocationPositiveControl,15,0.031200,1
Harness,AllocationPositiveControl,16,0.032800,1
Harness,AllocationPositiveControl,17,0.034300,1
Harness,AllocationPositiveControl,18,0.030900,1
Harness,AllocationPositiveControl,19,0.030800,1
Harness,AllocationPositiveControl,20,0.029800,1
Harness,AllocationPositiveControl,21,0.029600,1
Harness,AllocationPositiveControl,22,0.032500,1
Harness,AllocationPositiveControl,23,0.032200,1
Harness,AllocationPositiveControl,24,0.033700,1
Harness,AllocationPositiveControl,25,0.029800,1
Harness,AllocationPositiveControl,26,0.030000,1
Harness,AllocationPositiveControl,27,0.032000,1
Harness,AllocationPositiveControl,28,0.032400,1
Harness,AllocationPositiveControl,29,0.218300,1
Harness,AllocationPositiveControl,30,0.032400,1
Harness,AllocationPositiveControl,31,0.463700,1
Harness,AllocationPositiveControl,32,0.025300,1
Harness,AllocationPositiveControl,33,0.023700,1
Harness,AllocationPositiveControl,34,0.023500,1
Harness,AllocationPositiveControl,35,0.026300,1
Harness,AllocationPositiveControl,36,0.034700,1
Harness,AllocationPositiveControl,37,0.030800,1
